bestEpoch=94	 MRR = 0.4424	 Hit@5=0.4551	 NDCG@5=0.4255	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=96	 MRR = 0.4441	 Hit@5=0.4585	 NDCG@5=0.4272	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=100	 MRR = 0.4516	 Hit@5=0.4626	 NDCG@5=0.4344	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=110	 MRR = 0.4601	 Hit@5=0.4674	 NDCG@5=0.4426	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=122	 MRR = 0.4701	 Hit@5=0.4715	 NDCG@5=0.4514	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=142	 MRR = 0.4727	 Hit@5=0.4728	 NDCG@5=0.4539	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=144	 MRR = 0.473	 Hit@5=0.4733	 NDCG@5=0.454	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=152	 MRR = 0.4746	 Hit@5=0.4742	 NDCG@5=0.4556	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=164	 MRR = 0.4761	 Hit@5=0.4771	 NDCG@5=0.4576	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=166	 MRR = 0.4781	 Hit@5=0.4767	 NDCG@5=0.4589	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=168	 MRR = 0.4793	 Hit@5=0.4754	 NDCG@5=0.4595	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=170	 MRR = 0.4818	 Hit@5=0.4798	 NDCG@5=0.4627	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=174	 MRR = 0.4852	 Hit@5=0.4837	 NDCG@5=0.4666	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=188	 MRR = 0.4884	 Hit@5=0.4825	 NDCG@5=0.4687	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=190	 MRR = 0.4935	 Hit@5=0.4873	 NDCG@5=0.474	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=214	 MRR = 0.4968	 Hit@5=0.4911	 NDCG@5=0.4778	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=238	 MRR = 0.4969	 Hit@5=0.4917	 NDCG@5=0.4779	 dataset=./DataProcess/Tmall/天猫点击sequenceTest.csv	 model=SASRec	 downEpoch=0
bestEpoch=2	 MRR = 0.0546	 Hit@5=0.0604	 NDCG@5=0.0342	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=2	 MRR = 0.0565	 Hit@5=0.0682	 NDCG@5=0.0387	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=2	 MRR = 0.0445	 Hit@5=0.0551	 NDCG@5=0.0255	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
